"country","numBils","bilsPerMil"
"United States","724","1.8530"
"China","698","0.2760"
"India","237","0.1710"
"Germany","136","1.5530"
"Russia","117","0.6770"
"Hong Kong","71","8.8300"
"Brazil","65","0.2110"
"Canada","64","1.1470"
"United Kingdom","56","0.6740"
"Italy","51","0.6070"
"Japan","49","0.2070"
"Taiwan","47","1.5290"
"Australia","44","1.2030"
"South Korea","43","0.5400"
"France","42","0.5790"
"Sweden","41","2.9870"
"Switzerland","40","4.0440"
"Thailand","31","0.3000"
"Spain","30","0.5070"
"Singapore","27","4.5730"
"Turkey","27","0.2750"
"Israel","17","1.8240"
"Philippines","15","0.1360"
"Indonesia","15","0.0560"
"Norway","12","2.2260"
"Malaysia","12","0.3660"
"Mexico","12","0.0950"
"Netherlands","11","0.6260"
"Ireland","9","1.8080"
"Austria","9","1.0070"
"Denmark","8","1.3700"
"Czech Republic","8","0.7470"
"Chile","7","0.3560"
"Finland","6","1.0900"
"Lebanon","6","0.8860"
"Poland","6","0.1570"
"Ukraine","6","0.1440"
"Egypt","6","0.0590"
"United Arab Emirates","4","0.4270"
"Kazakhstan","4","0.2120"
"Argentina","4","0.0870"
"South Africa","4","0.0670"
"Vietnam","4","0.0410"
"Monaco","3","78.7400"
"Cyprus","3","3.3780"
"Greece","3","0.2800"
"Colombia","3","0.0590"
"Nigeria","3","0.0140"
"Saint Kitts and Nevis","2","37.0370"
"New Zealand","2","0.3910"
"Slovakia","2","0.3660"
"Romania","2","0.1040"
"Peru","2","0.0610"
"Liechtenstein","1","25.7100"
"Iceland","1","2.7130"
"Macau","1","1.4640"
"Eswatini","1","0.9150"
"Qatar","1","0.3680"
"Georgia","1","0.2690"
"Kuwait","1","0.2240"
"Oman","1","0.2230"
"Hungary","1","0.1030"
"Portugal","1","0.0970"
"Belgium","1","0.0870"
"Zimbabwe","1","0.0630"
"Venezuela","1","0.0350"
"Nepal","1","0.0330"
"Angola","1","0.0310"
"Morocco","1","0.0280"
"Algeria","1","0.0220"
"Tanzania","1","0.0170"
