,demographics.age,demographics.gender,location.citizenship,location.region,wealth.how.industry,wealth.how.inherited
0,40,male,United States,North America,Technology,not inherited
1,45,male,United States,North America,Technology,not inherited
2,58,male,United States,North America,Technology,not inherited
3,65,male,United States,North America,Consumer,not inherited
4,70,male,United States,North America,Consumer,not inherited
5,74,male,Mexico,Latin America,Media,not inherited
6,0,,Switzerland,Europe,Technology,inherited
7,48,male,United States,North America,Technology,not inherited
8,77,male,Spain,Europe,"Retail, Restaurant",not inherited
9,68,male,Hong Kong,East Asia,Real Estate,not inherited
10,56,male,United States,North America,Technology,not inherited
11,83,male,United States,North America,Consumer,not inherited
12,71,male,Taiwan,East Asia,Financial,not inherited
13,0,male,Germany,Europe,"Retail, Restaurant",not inherited
14,69,male,United States,North America,Technology,not inherited
15,0,male,Hong Kong,East Asia,Real Estate,inherited
16,44,male,Saudi Arabia,Middle East/North Africa,Financial,not inherited
17,78,male,United States,North America,Financial,inherited
18,73,male,United States,North America,Financial,inherited
19,67,male,Hong Kong,East Asia,Real Estate,not inherited
20,53,male,United States,North America,"Retail, Restaurant",inherited
21,61,male,Japan,East Asia,Real Estate,inherited
22,55,male,United States,North America,Consumer,inherited
23,80,male,United States,North America,Real Estate,not inherited
24,0,male,Germany,Europe,"Retail, Restaurant",inherited
25,57,male,United States,North America,"Retail, Restaurant",inherited
26,59,female,United States,North America,"Retail, Restaurant",inherited
27,0,male,Sweden,Europe,Consumer,inherited
28,52,female,United States,North America,"Retail, Restaurant",inherited
29,81,female,United States,North America,Consumer,inherited
30,66,male,United States,North America,"Retail, Restaurant",inherited
31,68,female,Germany,Europe,Consumer,inherited
32,91,female,France,Europe,Consumer,inherited
33,0,,Germany,Europe,Financial,not inherited
34,73,female,Germany,Europe,Consumer,inherited
35,66,male,Sweden,Europe,Consumer,inherited
36,43,male,United States,North America,Technology,not inherited
37,44,male,United States,North America,Technology,not inherited
38,64,female,United States,North America,"Retail, Restaurant",inherited
39,72,male,Canada,North America,Media,inherited
40,77,male,Canada,North America,Media,inherited
41,70,male,United States,North America,"Retail, Restaurant",inherited
42,81,male,United States,North America,Media,not inherited
43,78,female,France,Europe,Consumer,inherited
44,64,male,France,Europe,Consumer,not inherited
45,0,male,Philippines,East Asia,Real Estate,not inherited
46,61,male,United States,North America,Financial,not inherited
47,72,male,United States,North America,Media,not inherited
48,0,,Indonesia,East Asia,Consumer,not inherited
49,74,male,Sweden,Europe,"Retail, Restaurant",not inherited
50,40,male,United States,North America,Technology,not inherited
51,56,male,Mexico,Latin America,Media,not inherited
52,72,male,Hong Kong,East Asia,Real Estate,not inherited
53,77,male,United States,North America,Media,inherited
54,50,male,United States,North America,"Retail, Restaurant",not inherited
55,51,male,United States,North America,Technology,not inherited
56,40,male,United States,North America,Technology,not inherited
57,0,male,South Korea,East Asia,Financial,not inherited
58,0,male,Germany,Europe,Media,not inherited
59,85,male,Hong Kong,East Asia,Financial,not inherited
60,0,male,France,Europe,"Retail, Restaurant",not inherited
61,81,female,United States,North America,Media,inherited
62,77,female,United States,North America,Media,inherited
63,29,male,United States,North America,Technology,not inherited
