company.founded,demographics.age,demographics.gender,location.citizenship,location.region,wealth.how.industry,wealth.how.inherited
1975,40,male,United States,North America,Technology-Computer,not inherited
1975,45,male,United States,North America,Technology-Computer,not inherited
1975,58,male,United States,North America,Technology-Computer,not inherited
1962,65,male,United States,North America,Consumer,not inherited
1962,70,male,United States,North America,Consumer,not inherited
1990,74,male,Mexico,Latin America,Media,not inherited
1896,0,,Switzerland,Europe,Technology-Medical,3rd generation
1975,48,male,United States,North America,Technology-Computer,not inherited
1975,77,male,Spain,Europe,"Retail, Restaurant",not inherited
1976,68,male,Hong Kong,East Asia,Real Estate,not inherited
1977,56,male,United States,North America,Technology-Computer,not inherited
1839,83,male,United States,North America,Consumer,not inherited
1962,71,male,Taiwan,East Asia,Hedge funds,not inherited
1913,0,male,Germany,Europe,"Retail, Restaurant",not inherited
1977,69,male,United States,North America,Technology-Computer,not inherited
1963,0,male,Hong Kong,East Asia,Real Estate,father
1980,44,male,Saudi Arabia,Middle East/North Africa,Money Management,not inherited
1940,78,male,United States,North America,Diversified financial,father
1940,73,male,United States,North America,Diversified financial,father
1971,67,male,Hong Kong,East Asia,Real Estate,not inherited
1962,53,male,United States,North America,"Retail, Restaurant",father
1894,61,male,Japan,East Asia,Real Estate,father
1962,55,male,United States,North America,Consumer,father
1952,80,male,United States,North America,Real Estate,not inherited
1913,0,male,Germany,Europe,"Retail, Restaurant",father
1962,57,male,United States,North America,"Retail, Restaurant",father
1962,59,female,United States,North America,"Retail, Restaurant",spouse/widow
1951,0,male,Sweden,Europe,Consumer,father
1962,52,female,United States,North America,"Retail, Restaurant",father
1962,81,female,United States,North America,Consumer,spouse/widow
1962,66,male,United States,North America,"Retail, Restaurant",father
1916,68,female,Germany,Europe,Consumer,spouse/widow
1909,91,female,France,Europe,Consumer,father
1756,0,,Germany,Europe,Diversified financial,not inherited
1916,73,female,Germany,Europe,Consumer,spouse/widow
1947,66,male,Sweden,Europe,Consumer,father
1975,43,male,United States,North America,Technology-Computer,not inherited
1975,44,male,United States,North America,Technology-Computer,not inherited
1962,64,female,United States,North America,"Retail, Restaurant",father
1934,72,male,Canada,North America,Media,father
1934,77,male,Canada,North America,Media,father
1962,70,male,United States,North America,"Retail, Restaurant",father
1956,81,male,United States,North America,Media,not inherited
1909,78,female,France,Europe,Consumer,father
1987,64,male,France,Europe,Consumer,not inherited
1972,0,male,Philippines,East Asia,Real Estate,not inherited
1961,61,male,United States,North America,Money Management,not inherited
1981,72,male,United States,North America,Media,not inherited
1958,0,,Indonesia,East Asia,Consumer,not inherited
1943,74,male,Sweden,Europe,"Retail, Restaurant",not inherited
1998,40,male,United States,North America,Technology-Computer,not inherited
1990,56,male,Mexico,Latin America,Media,not inherited
1971,72,male,Hong Kong,East Asia,Real Estate,not inherited
1936,77,male,United States,North America,Media,father
1995,50,male,United States,North America,"Retail, Restaurant",not inherited
1977,51,male,United States,North America,Technology-Computer,not inherited
1998,40,male,United States,North America,Technology-Computer,not inherited
1946,0,male,South Korea,East Asia,Diversified financial,not inherited
1956,0,male,Germany,Europe,Media,not inherited
1950,85,male,Hong Kong,East Asia,Diversified financial,not inherited
1961,0,male,France,Europe,"Retail, Restaurant",not inherited
1898,81,female,United States,North America,Media,father
1898,77,female,United States,North America,Media,father
2004,29,male,United States,North America,Technology-Computer,not inherited
1980,73,male,Malaysia,East Asia,Money Management,not inherited
1946,88,male,Italy,Europe,Consumer,not inherited
1948,55,male,Singapore,East Asia,Diversified financial,father
1963,0,male,Hong Kong,East Asia,Real Estate,father
1981,56,male,Nigeria,Sub-Saharan Africa,Constrution,not inherited
1914,94,male,Germany,Europe,"Retail, Restaurant",not inherited
1929,70,male,Hong Kong,East Asia,Real Estate,father
1956,86,male,United States,North America,Media,not inherited
1957,85,male,Switzerland,Europe,Technology-Computer,not inherited
1990,61,male,Mexico,Latin America,Media,not inherited
1968,78,male,United States,North America,Diversified financial,not inherited
1964,58,male,United States,North America,Consumer,not inherited
1981,52,male,France,Europe,Consumer,not inherited
1969,83,male,United States,North America,Hedge funds,not inherited
1950,52,male,Germany,Europe,"Retail, Restaurant",father
1906,35,male,Switzerland,Europe,Technology-Medical,3rd generation
1984,36,male,United States,North America,Technology-Computer,not inherited
1934,56,male,Canada,North America,Media,father
1970,0,male,Hong Kong,East Asia,Consumer,father
1955,84,male,Hong Kong,East Asia,Real Estate,not inherited
1970,0,male,Hong Kong,East Asia,Real Estate,father
1978,64,male,Italy,Europe,Media,not inherited
1930,74,male,Germany,Europe,"Retail, Restaurant",father
0,66,male,Japan,East Asia,Money Management,not inherited
1946,39,female,United States,North America,Money Management,3rd generation
1980,58,male,Saudi Arabia,Middle East/North Africa,Diversified financial,not inherited
1919,0,male,Brazil,Latin America,Non-consumer industrial,father
1911,69,male,United States,North America,Consumer,3rd generation
1911,0,female,United States,North America,Consumer,3rd generation
1911,64,male,United States,North America,Consumer,3rd generation
1951,0,female,Sweden,Europe,Consumer,3rd generation
1911,82,male,United States,North America,Consumer,3rd generation
1911,74,female,United States,North America,Consumer,3rd generation
1911,77,male,United States,North America,Consumer,3rd generation
1962,0,male,Indonesia,East Asia,Diversified financial,not inherited
1909,73,female,France,Europe,Consumer,father
1668,0,,Germany,Europe,Technology-Medical,not inherited
1999,74,male,Brazil,Latin America,Consumer,not inherited
1978,59,male,Italy,Europe,Media,not inherited
1980,48,male,United States,North America,Media,not inherited
1970,62,male,United States,North America,Media,not inherited
1976,86,male,Hong Kong,East Asia,Diversified financial,not inherited
1953,0,male,Saudi Arabia,Middle East/North Africa,Money Management,father
1975,57,male,United States,North America,Technology-Computer,not inherited
1913,63,male,Germany,Europe,"Retail, Restaurant",father
1938,0,male,South Korea,East Asia,Technology-Computer,father
0,71,male,Japan,East Asia,Money Management,not inherited
1962,50,male,United States,North America,Consumer,father
1947,0,male,Saudi Arabia,Middle East/North Africa,Diversified financial,not inherited
1961,78,male,Italy,Europe,Consumer,not inherited
1962,48,male,United States,North America,"Retail, Restaurant",father
1923,70,male,United States,North America,Media,father
1990,56,male,United States,North America,Diversified financial,not inherited
1962,76,female,United States,North America,Consumer,spouse/widow
1951,74,male,Sweden,Europe,Consumer,father
1899,55,male,Japan,East Asia,Consumer,3rd generation
1999,60,male,Russia,Europe,Non-consumer industrial,not inherited
1980,56,male,India,South Asia,Energy,not inherited
1962,47,female,United States,North America,"Retail, Restaurant",father
1962,52,male,United States,North America,"Retail, Restaurant",father
1945,55,male,India,South Asia,Technology-Computer,father
1981,56,male,Japan,East Asia,Technology-Computer,not inherited
1949,70,male,Germany,Europe,"Retail, Restaurant",father
1964,76,male,United States,North America,Consumer,not inherited
1876,0,,Germany,Europe,Non-consumer industrial,not inherited
1975,65,male,Spain,Europe,Consumer,not inherited
1961,65,male,Italy,Europe,Consumer,not inherited
1981,38,male,Japan,East Asia,Media,not inherited
1919,69,male,Germany,Europe,Money Management,father
1677,49,male,United Kingdom,Europe,Real Estate,5th generation or longer
1963,65,male,Japan,East Asia,"Retail, Restaurant",not inherited
1952,0,male,Indonesia,East Asia,Diversified financial,not inherited
1924,83,male,United States,North America,Real Estate,not inherited
1955,60,female,Australia,North America,Mining and metals,father
2001,0,male,Switzerland,Europe,Technology-Medical,not inherited
1971,63,male,United States,North America,Money Management,not inherited
1963,64,male,France,Europe,"Retail, Restaurant",not inherited
1989,49,male,Russia,Europe,Energy,not inherited
1909,66,male,United States,North America,Media,father
1984,49,male,United States,North America,Technology-Computer,not inherited
1909,68,male,United States,North America,Media,father
2001,0,male,Switzerland,Europe,Technology-Medical,not inherited
1916,51,female,Germany,Europe,Consumer,father
1921,56,male,Thailand,East Asia,Consumer,father
1969,70,male,United States,North America,Hedge funds,not inherited
1956,57,male,Kuwait,Middle East/North Africa,Constrution,father
1946,52,female,United States,North America,Money Management,3rd generation
1885,0,,Germany,Europe,Technology-Medical,3rd generation
1990,56,male,Russia,Europe,Mining and metals,not inherited
1869,55,male,United Kingdom,Europe,"Retail, Restaurant",4th generation
1976,73,male,Hong Kong,East Asia,Real Estate,not inherited
1989,63,male,India,South Asia,Non-consumer industrial,father
1926,0,,France,Europe,Technology-Medical,not inherited
1957,67,male,United States,North America,Money Management,not inherited
1992,57,male,Russia,Europe,Non-consumer industrial,not inherited
1961,71,male,Japan,East Asia,"Retail, Restaurant",not inherited
1976,58,male,United States,North America,Technology-Computer,not inherited
1929,88,male,Hong Kong,East Asia,Diversified financial,father
1923,71,male,Japan,East Asia,Real Estate,father
1948,60,male,Japan,East Asia,Money Management,father
1981,43,male,Japan,East Asia,Media,not inherited
1955,75,male,Brazil,Latin America,Money Management,not inherited
1926,65,male,Turkey,Middle East/North Africa,Money Management,3rd generation
1975,61,male,United States,North America,Technology-Computer,not inherited
1898,72,female,United States,North America,Media,father
1965,65,male,Italy,Europe,Consumer,not inherited
1957,74,male,United States,North America,Real Estate,father
1957,50,male,United States,North America,Real Estate,father
1994,58,male,Russia,Europe,Energy,not inherited
1898,76,female,United States,North America,Media,father
1898,94,female,United States,North America,Media,father
1963,77,male,France,Europe,"Retail, Restaurant",not inherited
1888,71,female,Chile,Latin America,Mining and metals,spouse/widow
1980,53,male,United States,North America,Private equity/leveraged buyout,not inherited
1959,66,male,Japan,East Asia,Real Estate,father
1865,74,male,Germany,Europe,Technology-Medical,4th generation
1968,72,male,United States,North America,Technology-Computer,not inherited
1972,57,male,Germany,Europe,Technology-Computer,not inherited
1961,0,male,France,Europe,"Retail, Restaurant",not inherited
1963,72,male,Germany,Europe,"Retail, Restaurant",not inherited
1945,68,male,India,South Asia,Technology-Computer,father
2000,61,male,Russia,Europe,Energy,not inherited
1970,67,male,Saudi Arabia,Middle East/North Africa,Energy,not inherited
1927,52,female,Germany,Europe,"Retail, Restaurant",not inherited
1841,0,,Netherlands,Europe,"Retail, Restaurant",not inherited
1968,67,male,United States,North America,Technology-Computer,not inherited
1919,74,male,Germany,Europe,Money Management,father
1929,55,male,Venezuela,Latin America,Media,father
1947,53,male,Sweden,Europe,Consumer,father
1957,90,male,Switzerland,Europe,Technology-Computer,not inherited
1988,59,male,China,East Asia,Real Estate,not inherited
1936,0,male,United States,North America,Media,father
1980,61,male,United States,North America,Media,not inherited
1975,39,male,United States,North America,Technology-Computer,not inherited
1916,47,male,Germany,Europe,Consumer,father
1968,61,male,Argentina,Latin America,Consumer,father
1978,60,male,Mexico,Latin America,Mining and metals,not inherited
1865,69,male,Germany,Europe,Technology-Medical,4th generation
1967,53,male,Japan,East Asia,Money Management,not inherited
1967,68,male,United States,North America,Energy,not inherited
0,0,,South Korea,East Asia,Consumer,not inherited
1982,0,male,United States,North America,Other,not inherited
1864,81,male,United States,North America,Real Estate,not inherited
1975,64,male,United States,North America,Hedge funds,not inherited
1882,0,male,Canada,North America,Energy,3rd generation
1909,0,male,France,Europe,Consumer,3rd generation
1890,70,male,Germany,Europe,Money Management,father
1909,71,male,United States,North America,Media,father
1923,57,male,Germany,Europe,"Retail, Restaurant",3rd generation
1909,73,male,United States,North America,Media,father
1952,42,male,Greece,Europe,Other,father
1946,49,male,Germany,Europe,Non-consumer industrial,father
1954,79,male,Taiwan,East Asia,Consumer,not inherited
